Mp_Mjup,Mdot_Mjup_yr,alpha,kappaR,Rin_Rjup,Rout_AU,d_pc,wavelength,kappa_mm,Tb_avg_K,F_nu_muJy
1.0,1e-05,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,261.7,170.50
1.0,1e-05,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,146.9,40.91
1.0,1e-05,0.1,10.0,1.0,0.12,140,3mm,0.0041,36.8,1.93
1.0,1e-05,0.1,10.0,1.0,0.12,140,10mm,0.0005,4.8,0.02
1.0,3e-05,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,408.7,266.26
1.0,3e-05,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,428.7,119.39
1.0,3e-05,0.01,1.0,1.0,0.12,140,3mm,0.0041,510.7,26.71
1.0,3e-05,0.01,1.0,1.0,0.12,140,10mm,0.0005,139.5,0.66
1.0,3e-05,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,524.5,341.64
1.0,3e-05,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,601.1,167.40
1.0,3e-05,0.01,10.0,1.0,0.12,140,3mm,0.0041,716.5,37.47
1.0,3e-05,0.01,10.0,1.0,0.12,140,10mm,0.0005,130.5,0.61
1.0,3e-05,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,408.7,266.26
1.0,3e-05,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,428.7,119.39
1.0,3e-05,0.03,1.0,1.0,0.12,140,3mm,0.0041,314.3,16.44
1.0,3e-05,0.03,1.0,1.0,0.12,140,10mm,0.0005,47.7,0.22
1.0,3e-05,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,524.5,341.64
1.0,3e-05,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,601.1,167.40
1.0,3e-05,0.03,10.0,1.0,0.12,140,3mm,0.0041,321.8,16.83
1.0,3e-05,0.03,10.0,1.0,0.12,140,10mm,0.0005,44.5,0.21
1.0,3e-05,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,407.9,265.71
1.0,3e-05,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,322.6,89.83
1.0,3e-05,0.1,1.0,1.0,0.12,140,3mm,0.0041,110.4,5.77
1.0,3e-05,0.1,1.0,1.0,0.12,140,10mm,0.0005,14.4,0.07
1.0,3e-05,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,522.3,340.23
1.0,3e-05,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,381.3,106.17
1.0,3e-05,0.1,10.0,1.0,0.12,140,3mm,0.0041,108.5,5.67
1.0,3e-05,0.1,10.0,1.0,0.12,140,10mm,0.0005,14.0,0.07
1.0,1e-04,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,552.3,359.78
1.0,1e-04,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,579.3,161.32
1.0,1e-04,0.01,1.0,1.0,0.12,140,3mm,0.0041,690.0,36.08
1.0,1e-04,0.01,1.0,1.0,0.12,140,10mm,0.0005,419.2,1.97
1.0,1e-04,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,708.7,461.63
1.0,1e-04,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,812.2,226.19
1.0,1e-04,0.01,10.0,1.0,0.12,140,3mm,0.0041,1115.5,58.34
1.0,1e-04,0.01,10.0,1.0,0.12,140,10mm,0.0005,423.3,1.99
1.0,1e-04,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,552.3,359.78
1.0,1e-04,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,579.3,161.32
1.0,1e-04,0.03,1.0,1.0,0.12,140,3mm,0.0041,681.9,35.66
1.0,1e-04,0.03,1.0,1.0,0.12,140,10mm,0.0005,156.6,0.74
1.0,1e-04,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,708.7,461.63
1.0,1e-04,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,812.2,226.19
1.0,1e-04,0.03,10.0,1.0,0.12,140,3mm,0.0041,863.1,45.14
1.0,1e-04,0.03,10.0,1.0,0.12,140,10mm,0.0005,145.4,0.68
1.0,1e-04,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,552.3,359.78
1.0,1e-04,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,579.3,161.32
1.0,1e-04,0.1,1.0,1.0,0.12,140,3mm,0.0041,334.5,17.49
1.0,1e-04,0.1,1.0,1.0,0.12,140,10mm,0.0005,47.9,0.23
1.0,1e-04,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,708.7,461.63
1.0,1e-04,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,812.2,226.19
1.0,1e-04,0.1,10.0,1.0,0.12,140,3mm,0.0041,335.4,17.54
1.0,1e-04,0.1,10.0,1.0,0.12,140,10mm,0.0005,44.9,0.21
3.0,1e-06,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,229.6,149.57
3.0,1e-06,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,184.1,51.27
3.0,1e-06,0.01,1.0,1.0,0.12,140,3mm,0.0041,63.7,3.33
3.0,1e-06,0.01,1.0,1.0,0.12,140,10mm,0.0005,8.3,0.04
3.0,1e-06,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,294.0,191.50
3.0,1e-06,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,218.7,60.91
3.0,1e-06,0.01,10.0,1.0,0.12,140,3mm,0.0041,62.6,3.27
3.0,1e-06,0.01,10.0,1.0,0.12,140,10mm,0.0005,8.1,0.04
3.0,1e-06,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,139.1,90.63
3.0,1e-06,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,82.8,23.07
3.0,1e-06,0.03,1.0,1.0,0.12,140,3mm,0.0041,21.7,1.13
3.0,1e-06,0.03,1.0,1.0,0.12,140,10mm,0.0005,2.8,0.01
3.0,1e-06,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,160.4,104.51
3.0,1e-06,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,86.7,24.13
3.0,1e-06,0.03,10.0,1.0,0.12,140,3mm,0.0041,21.3,1.12
3.0,1e-06,0.03,10.0,1.0,0.12,140,10mm,0.0005,2.8,0.01
3.0,1e-06,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,53.2,34.67
3.0,1e-06,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,27.2,7.57
3.0,1e-06,0.1,1.0,1.0,0.12,140,3mm,0.0041,6.5,0.34
3.0,1e-06,0.1,1.0,1.0,0.12,140,10mm,0.0005,0.8,0.00
3.0,1e-06,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,54.8,35.70
3.0,1e-06,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,26.8,7.45
3.0,1e-06,0.1,10.0,1.0,0.12,140,3mm,0.0041,6.5,0.34
3.0,1e-06,0.1,10.0,1.0,0.12,140,10mm,0.0005,0.8,0.00
3.0,3e-06,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,302.5,197.06
3.0,3e-06,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,317.3,88.36
3.0,3e-06,0.01,1.0,1.0,0.12,140,3mm,0.0041,175.1,9.16
3.0,3e-06,0.01,1.0,1.0,0.12,140,10mm,0.0005,24.9,0.12
3.0,3e-06,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,388.1,252.84
3.0,3e-06,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,442.9,123.35
3.0,3e-06,0.01,10.0,1.0,0.12,140,3mm,0.0041,175.5,9.18
3.0,3e-06,0.01,10.0,1.0,0.12,140,10mm,0.0005,23.4,0.11
3.0,3e-06,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,286.3,186.51
3.0,3e-06,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,204.0,56.80
3.0,3e-06,0.03,1.0,1.0,0.12,140,3mm,0.0041,64.5,3.37
3.0,3e-06,0.03,1.0,1.0,0.12,140,10mm,0.0005,8.4,0.04
3.0,3e-06,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,360.1,234.55
3.0,3e-06,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,233.7,65.07
3.0,3e-06,0.03,10.0,1.0,0.12,140,3mm,0.0041,63.0,3.29
3.0,3e-06,0.03,10.0,1.0,0.12,140,10mm,0.0005,8.1,0.04
3.0,3e-06,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,138.6,90.28
3.0,3e-06,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,78.0,21.71
3.0,3e-06,0.1,1.0,1.0,0.12,140,3mm,0.0041,19.5,1.02
3.0,3e-06,0.1,1.0,1.0,0.12,140,10mm,0.0005,2.5,0.01
3.0,3e-06,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,153.7,100.14
3.0,3e-06,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,79.6,22.17
3.0,3e-06,0.1,10.0,1.0,0.12,140,3mm,0.0041,19.3,1.01
3.0,3e-06,0.1,10.0,1.0,0.12,140,10mm,0.0005,2.5,0.01
3.0,1e-05,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,408.7,266.26
3.0,1e-05,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,428.7,119.39
3.0,1e-05,0.01,1.0,1.0,0.12,140,3mm,0.0041,446.4,23.35
3.0,1e-05,0.01,1.0,1.0,0.12,140,10mm,0.0005,82.0,0.39
3.0,1e-05,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,524.5,341.64
3.0,1e-05,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,601.1,167.40
3.0,1e-05,0.01,10.0,1.0,0.12,140,3mm,0.0041,500.2,26.16
3.0,1e-05,0.01,10.0,1.0,0.12,140,10mm,0.0005,76.0,0.36
3.0,1e-05,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,408.7,266.26
3.0,1e-05,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,424.2,118.13
3.0,1e-05,0.03,1.0,1.0,0.12,140,3mm,0.0041,200.3,10.48
3.0,1e-05,0.03,1.0,1.0,0.12,140,10mm,0.0005,27.7,0.13
3.0,1e-05,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,524.5,341.64
3.0,1e-05,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,561.4,156.34
3.0,1e-05,0.03,10.0,1.0,0.12,140,3mm,0.0041,199.0,10.41
